2Dmemory	2Dmemory<br>二度半存储器
minimum access coding	minimum access coding<br>最快［短］存取编码法;［最小接达码］
minimum access programming	minimum access programming<br>最快存取程序设计法;［最短接达规划］
minimum channel-select setup time	minimum channel-select setup time<br>通道选择建立最小时间
minimum configuration	minimum configuration<br>最低限度配置;［最小组态］
minimum delay coding	minimum delay coding<br>最小延迟编码法
minimum delay programming	minimum delay programming<br>最小延迟编程［程序设计］法;［最短延迟规划］
minimum distance	minimum distance<br>最小距离
minimum distance code	minimum distance code<br>最小距离码
minimum interval	minimum interval<br>最小间隔
minimum latency code	minimum latency code<br>最小等待时间码;［最短潜时码］
minimum latency coding	minimum latency coding<br>最小等待时间编码法,最快访问编码法;［最短潜时写码］
minimum latency program	minimum latency program<br>最小等待时间程序;［最短潜时程序］
minimum latency programming	minimum latency programming<br>最小等待时间编程［程序设计］法;［最短潜时规划］
minimum truncation	minimum truncation<br>最短截取(式)
minimum weight routing	minimum weight routing<br>最小加权路由选择法［技术］
miniperipheral	miniperipheral<br>小型外围设备
mini-specification	mini-specification<br>小型规范
minisupercomputer	minisupercomputer<br>小型超级计算机
minitape cartridge	minitape cartridge<br>小型盒式磁带
minitel	minitel<br>可视图文小型终端
minor control data	minor control data<br>次控制数据;［细控资料］
minor control field	minor control field<br>次控制字段;［细控栏］
minor cycle	minor cycle<br>小周期,小循环;［副周］
minority carrier	minority carrier<br>少数载流子
minor key	minor key<br>辅助键
minor loop	minor loop<br>局部磁回路
minor node	minor node<br>小节点
minor sort key	minor sort key<br>次要排序关键字
minor structure	minor structure<br>子结构
minor time slice	minor time slice<br>小时间片
minor total	minor total<br>小计
minuscule	minuscule<br>小书写体字符
minus flag	minus flag<br>负标记;［负旗标］
MIOCB	MIOCB<br>主输入输出控制块
MIPS	MIPS<br>每秒百万条指令
MIRIAM	MIRIAM<br>主要事故位置指示和行动管理程序
mirroring	mirroring<br>镜象法
mirror transaction	mirror transaction<br>镜象交易［事项处理程序］
MIS	MIS<br>管理信息系统;［管理资讯系统］
miscellaneous time	miscellaneous time<br>杂项［用］时间
MISD	MISD<br>多指令(流)单数据(流);［多指令流单资料流］
misfeed	misfeed<br>误传送,传送失效;［误馈］
mismatch	mismatch<br>失配
misregistration	misregistration<br>位置不正
missing clock	missing clock<br>消除时钟(法)
missing interruption handler (MIH)	missing interruption handler (MIH)<br>丢失中断处理程序；［丢失岔断处理器］
missing page interrupt	missing page interrupt<br>缺页中断;［缺页岔断］
missing page interruption	missing page interruption<br>缺页中断;［缺页岔断］
missing-pulse	missing-pulse<br>遗漏脉冲;［遗漏脉波］
mistake	mistake<br>错误
mist printer	mist printer<br>喷墨式印刷机
misuse failure	misuse failure<br>误操作故障
mixed-base notation	mixed-base notation<br>混合基数记数法;［混基记法］
mixed-base number	mixed-base number<br>混合基数数;［混基底］
mixed-base numeration system	mixed-base numeration system<br>混合基数记数法［制］
mixed chaining	mixed chaining<br>混合(拉)链法
mixed data set	mixed data set<br>混合数据集;［混合资料集］
mixed environment	mixed environment<br>混合环境
mixed file	mixed file<br>混合文件;［混合档案］
mixed format print data set	mixed format print data set<br>混合格式印刷数据集;［混合格式印字资料集］
mixed list	mixed list<br>混合表
mixed mode	mixed mode<br>混合模式
mixed-mode expression	mixed-mode expression<br>混合型表达式;［混合模式表示］
mixed-mode operation	mixed-mode operation<br>混合型运算;［混合模式作业］
mixed-mode processing	mixed-mode processing<br>混合型处理法;［混合模式处理］
mixed processing	mixed processing<br>混合处理法
mixed processing on-line access	mixed processing on-line access<br>混合联机存取处理法;［混合处理线上接达］
mixed-radix notation	mixed-radix notation<br>混合基记数法;［混合数基记法］
mixed-radix number	mixed-radix number<br>混合基数数
mixed-radix numeration system	mixed-radix numeration system<br>混合基记数法［制］
mixed storage	mixed storage<br>混合存储器;［混合储存器］
mixed-type expression	mixed-type expression<br>混合型表达式
mix gate	mix gate<br>“或”门同OR gate。\n
mix instruction	mix instruction
MKDS	MKDS<br>主密钥变形密钥数据集
MLA Bibliography	MLA Bibliography<br>现代语言协会文献库
MMI	MMI<br>人机接口;［人机界面］
mnemonic address	mnemonic address<br>助记地址;［助忆位址］
mnemonic code	mnemonic code<br>助记［忆］码;［助忆码］
mnemonic instruction codes	mnemonic instruction codes<br>助忆指令码
mnemonic language	mnemonic language<br>助记语言
mnemonic machine instruction	mnemonic machine instruction<br>助记机器指令
mnemonic name	mnemonic name<br>助记名
mnemonic symbol	mnemonic symbol<br>记忆符号;［助忆符号］
MNOS	MNOS<br>金属-氮化物-氧化物-硅［半导体］
MNOS memory	MNOS memory<br>金属-氮化物-氧化物-半导体存储器见MNOS。\n
mobile system	mobile system
MOBL	MOBL<br>商业宏语言
mockingbird	mockingbird<br>模仿［反舌鸟］(病毒程序)
MOD	MOD<br>报文［信息］输出描述符；［讯息输出说明要摘］
modal dispersion	modal dispersion<br>模态色散
mode	mode<br>方式;最频值;类型;模(式);［模态］
mode-2 character	mode-2 character<br>第2类字符;［模态2字元］
mode-3 character	mode-3 character<br>第3类字符;［模态3字元］
mode dispersion	mode dispersion<br>模式色散
mode field	mode field<br>方式字段;［模态栏］
mode indicator	mode indicator<br>状态指示器
model	model<br>／ｍｄｌ;ｍｄｌ／ = 模型 1. A representation in mathematical terms of a process, device, or concept. 
Model 65 Multiprocessing System (M65MS)	Model 65 Multiprocessing System (M65MS)<br>65型多处理系统
model statement	model statement<br>模型语句;［模型叙述］
modem	modem<br>调制解调器
modem audio loopback control	modem audio loopback control<br>调制解调器音频环路控制
modem chip	modem chip<br>调制解调器芯片
modem digital loopback control	modem digital loopback control<br>调制解调数字环路反馈控制
modem eliminator	modem eliminator<br>调制解调抑制器
modem-encryption device	modem-encryption device<br>调制解调器加密设备
modem interchanges	modem interchanges<br>调制解调器交换过程
modem pooling	modem pooling<br>调制解调器集中控制(法)
modem receive-only control	modem receive-only control<br>调制解调只接收控制
modem-sharing unit (MSU)	modem-sharing unit (MSU)<br>调制解调器共用设备
modem tester	modem tester<br>调制解调器检测器
modem turnaround time	modem turnaround time<br>调制解调器转向时间
mode name	mode name<br>方式名;［模态名］
modern face	modern face<br>新式字样［面］
modes of priority	modes of priority<br>优先级模式
mode table	mode table<br>方式表;［模态表］同bind image table。\n
modification detection code (MDC)	modification detection code (MDC)
modification level	modification level<br>修改级别
modification (MOD)	modification (MOD)<br>修改(法)
modified data tag (MDT)	modified data tag (MDT)<br>修改的数据标志
modified frequency modulation (MFM)	modified frequency modulation (MFM)<br>改进调频制
modified frequency modulation recording (MFM recording)	modified frequency modulation recording (MFM recording)<br>改进式调频记录技术
modified subfile record	modified subfile record<br>修改子文件记录
modifiedmodified frequency modulatio (M&+{2}FM)	modifiedmodified frequency modulatio (M&+{2}FM)<br>二次改进型调频制
modifier	modifier<br>修改量;限定语符;［修饰号］
modifier field	modifier field<br>修改字段;［修饰号字段］
modifier register	modifier register<br>变址寄存器;［修饰号暂存器］建议使用index register。\n
modify	modify
modify access type	modify access type<br>修改存取类型;［修饰接达类型］
modify ticket	modify ticket<br>修改标签
Modula	Modula<br>Modula语言
modular	modular<br>【修】模块化的,积木式的;［模组化］
modular connector	modular connector<br>积木式接插件
modular converter	modular converter<br>模块转换器;［模组变器］
modularity	modularity<br>模块度;［模组性］
modularization	modularization<br>模块化
modular programming	modular programming<br>模块化程序设计法［技术］;［模组化规划］
modular system	modular system<br>积木式［模块化］系统;［模组化系统］
modulate	modulate<br>【动】调制；［调变］
modulating signal	modulating signal<br>调制信号;［调变信号］
modulation	modulation<br>调制(法);［调变］
modulation capability	modulation capability<br>调制能力;［调变能力］
modulation code	modulation code<br>调制码;［调变码］
modulation factor	modulation factor<br>调制系数;［调变因数,调幅因数］
modulation index	modulation index<br>调制指数;［调变索引］
modulation meter	modulation meter<br>调制度表
modulation noise	modulation noise<br>调制噪声;［调变杂讯］
modulation pulse width	modulation pulse width<br>调制脉冲宽度;［调变脉波宽度］
modulation rate	modulation rate<br>调制速率;［调变率］
modulation(restitution, signal) element	modulation(restitution, signal) element<br>调制(解调,信号)元;［调变元］
modulation suppression	modulation suppression<br>调制抑制;［调变抑制］
modulator	modulator<br>调制器;［调变器］
modulator crystal	modulator crystal<br>调制晶体
modulatordemodulator	modulatordemodulator<br>调制解调器;［调变解调器］见modem。\n
Modula2	Modula2
module	module<br>模块,组件;［模组］
module board	module board<br>模块板;［模组板］
module dissipation	module dissipation<br>组件［模块］功耗;［模组耗散］
module extender board	module extender board<br>模块扩充板
module library	module library<br>模块(程序)库;［模组库］
module testing	module testing<br>模块［组件］测试;［模组测试］
modulo	modulo<br>模(数)
modulo 2 addition	modulo 2 addition<br>模2加法
modulo check	modulo check<br>模检验;［模核对］
modulo two sum	modulo two sum<br>模二和
moduloN	moduloN<br>模N
moduloN check	moduloN check<br>模N检验(法);［模N核对］
moduloN counter	moduloN counter<br>模N计数器
moduloN residue	moduloN residue<br>模N余数
modulus	modulus<br>模数
modulus N checking	modulus N checking<br>模N检验法
modulus of a counter	modulus of a counter<br>计数器模数
moire	moire<br>波纹,莫尔条纹
moistening pressure roller	moistening pressure roller<br>湿压滚筒
moistening roller	moistening roller<br>加湿滚筒
molecular bond	molecular bond<br>分子键
molecular electronics	molecular electronics<br>分子电子技术 同moleelectronics。\n
moleelectronics	moleelectronics
monadic Boolean operator	monadic Boolean operator<br>一元布尔运算符;［单元布耳运算子］
monadic operation	monadic operation<br>一元［单目］运算;［单元运算］
monadic operator	monadic operator<br>一元(运)算符,单目算子;［单元运算子］
monitor	monitor<br>监视器;监督程序;［监察器,监督程式］
monitor command	monitor command<br>监控命令
monitor command mode	monitor command mode<br>监控命令方式;［监控命令模式］
monitoring	monitoring<br>监控技术;［监察］
monitoring program	monitoring program<br>监控程序;［监察程式］同monitor program。\n
monitor jack	monitor jack
monitor mode	monitor mode<br>监控方式;［监控模式］
monitor printer	monitor printer<br>监控打印机;［监察印字机］
monitor program	monitor program<br>监控程序;［监察程式br>A computer program that observes, regulates, controls, or verifies the operations of a data processing system.
monitor routine	monitor routine<br>监督［控］程序;［监察常式］同monitor program。\n
monitor speaker	monitor speaker
monitor system	monitor system<br>监控系统;［监察系统］
monitor task	monitor task<br>监督［控］任务;［监察任务］
monitor terminal	monitor terminal<br>监控终端;［监察终端］
monoalphabetic cipher	monoalphabetic cipher<br>单表置换密码
monocase	monocase<br>单(字)体
monochromator	monochromator<br>单色仪
monochrome	monochrome<br>单色(画,照片,信号)
monochrome display adapter (MDA)	monochrome display adapter (MDA)<br>单色显示适配器
monocrystalline	monocrystalline<br>单晶
monolithic	monolithic<br>【修】单片的,单块的;［单片,单石］
monolithic integrated circuit	monolithic integrated circuit<br>单片集成电路;［单石积体电路］
monolithic storage	monolithic storage<br>单片存储器;［单石储存器］
monolithic technology	monolithic technology<br>单片技术;［单石技术］
monomode fiber	monomode fiber<br>单模光纤
monophonic	monophonic<br>【修】单声道的
monostable	monostable<br>【修】单稳的;［单定态］
monostable circuit	monostable circuit<br>单稳态(触发)电路;［单定态电路］
monostable multivibrator	monostable multivibrator<br>单稳多谐振荡器;［单定态复振器］
monostable trigger circuit	monostable trigger circuit<br>单稳态触发电路;［单定态触发器电路］同monostable circuit。\n
Monte Carlo method	Monte Carlo method
MORE screen status	MORE screen status<br>MORE屏幕状态
morpheme	morpheme<br>词素
morphology	morphology<br>形态学
Morse code	Morse code<br>莫尔斯电码;［莫士码］
Morse printer	Morse printer<br>莫尔斯打印机;［莫士印字机］
mosaic	mosaic<br>镶嵌［马赛克］字符
mosaic printer	mosaic printer<br>马赛克打印机
MOS circuit	MOS circuit<br>MOS电路
MOS dynamic random access memory	MOS dynamic random access memory<br>MOS动
MOSFET	MOSFET<br>金属氧化物半导体场效应晶体管
most significant bit	most significant bit<br>最高有效位;［最高有效数位］
most significant character	most significant character<br>最高有效字符;［最高有效字元］
most significant digit (MSD)	most significant digit (MSD)<br>最高有效位;［最高有效数位］
MOTEL bus	MOTEL bus<br>MOTEL总线;［MOTEL汇流排］
motherboard	motherboard<br>母板;［母盘］
motion compensation	motion compensation<br>动补偿法
motion picture	motion picture<br>电影;动画
motion register	motion register<br>(磁带)运转寄存器;［运转暂存器］
motion video	motion video<br>动图象;动画;电视
motor boating	motor boating<br>汽船声
mount	mount<br>【动】 安装，装配;底座，支架
mountable	mountable<br>【修】可安装的
mount attribute	mount attribute<br>安装属性
mouse	mouse<br>鼠
movable head disk	movable head disk<br>活动头磁盘(机);［可动头磁碟］
move	move<br>【动】传送;［移动］
move instruction	move instruction<br>传送指令
move mode	move mode<br>传送方式;［移动模式］
moving coil microphone	moving coil microphone<br>动圈式话筒
moving coil pickup	moving coil pickup<br>动圈式拾音器
moving head disk system	moving head disk system<br>移动头磁盘系统;［移动头磁碟系统］同movable head disk。\n
moving paper carrier	moving paper carrier
moving platen document copying machine	moving platen document copying machine<br>移动台板式文件复印机
movinghead printer	movinghead printer<br>打印头移动式打印机;［移动头印字机］
MP	MP<br>微处理器
MPLX	MPLX<br>多路转接［复用］器;［多工器］
MP/M operating system	MP/M operating system<br>微处理机多道程序设计控制程序(MP/M)操作系统;［MP/M作业系统］
MPU	MPU<br>微处理机
MPU support chip	MPU support chip<br>MPU支持芯片
MSB	MSB<br>最高有效位;［最高有效数元］
MSC	MSC<br>最高有效字符;［最高有效字元］
MSD	MSD<br>最高有效位;［最高有效数位］
MSI	MSI<br>中规模集成电路;［中型积体电路］
M signal	M signal<br>混合信号
MSNF	MSNF<br>多系统联网软件 MultiSystem Networking Facility 的缩写。\n
MSS	MSS
MSDOS	MSDOS<br>微软公司的磁盘操作系统
MTBE	MTBE<br>平均故障间隔时间 Mean Time Between Errors的缩写。\n
MTBF	MTBF
MTF	MTF<br>平均无故障时间；［故障前平均时间］Mean Time to Failure的缩写。\n
MTTR	MTTR
MUL	MUL<br>多路转接［复用］器;［多工器］MULtiplexer的缩写。\n
muldex	muldex
multi	multi<br>【修】多
multiaccess	multiaccess<br>多路访问［存取］;［多接达］
multiaccess associative memory	multiaccess associative memory<br>(多路存取)相联［联想］存储器同associative memory。\n
multiaccess channel	multiaccess channel
multiaccess computer	multiaccess computer<br>多路访问计算机;［多接达电脑］
multiaccess system	multiaccess system<br>多路访问［存取］系统;［多接达系统］
multiaddress	multiaddress<br>【修】多地址;［多址］
multiaddress call	multiaddress call<br>多址呼叫
multiaddress calling	multiaddress calling<br>多(地)址呼叫法;［多址呼叫］
multiaddress calling facility	multiaddress calling facility<br>多地址呼叫设施;［多址呼叫设施］
multiaddress code	multiaddress code<br>多地址代码;［多址代码］
multiaddress instruction	multiaddress instruction<br>多地址指令;［多址指令］
multiburst	multiburst<br>多突发帧面图
Multibus	Multibus<br>多总线
multibus multiprocessor	multibus multiprocessor<br>多总线多处理机;［多汇流排处理机］
multibyte	multibyte<br>多字节;［多数元组］
multicast	multicast<br>多终点传输法
multicast address	multicast address<br>多点播送地址;［多点播送位址］
multicast addressing	multicast addressing<br>多点播送寻址方式;［多点播送定址］
multicast group address	multicast group address<br>多点播送组地址
multichannel	multichannel<br>多通［频,信］道法
multichip	multichip<br>多(芯)片(电路);［复基片］
multichip IC	multichip IC<br>多片集成电路;［多基片积体电路］同multichip integrated circuit。\n
multichip integrated circuit	multichip integrated circuit
multichip microcircuit	multichip microcircuit<br>多片微电路;［多基片微电路］
multicolor graphics array (MGA)	multicolor graphics array (MGA)<br>多色图形阵列
multicomputer	multicomputer<br>多(计算)机(系统);［多电脑］同multicomputer system。\n
multicomputer system	multicomputer system
multicomputing unit	multicomputing unit<br>多运算器处理［计算］机
multidigit	multidigit<br>【修】多位
multidimensional access memory	multidimensional access memory<br>多维存取［访问］存储器
multidimensional array	multidimensional array<br>多维数组
multidimensional language	multidimensional language<br>多维语言
multidimensional processing	multidimensional processing<br>多维处理法
multidrop	multidrop<br>【修】多点
multidrop circuit	multidrop circuit<br>多点线路
multidrop connection	multidrop connection<br>多点连接(电路) 同multipoint connection。\n
multidrop line	multidrop line
multidrop network	multidrop network<br>多点网络;［多点网路］
multifile reel	multifile reel<br>多文件磁带卷;［多档卷轴］
multifile sorting	multifile sorting<br>多文件排序;［多档排序］
multifile volume	multifile volume<br>多文件卷;［多档卷］
multiframe	multiframe<br>复［多］帧
multifrequency pulsing (MF)	multifrequency pulsing (MF)<br>多频脉冲发生［调制］法
multifrequency receiver (MFR)	multifrequency receiver (MFR)<br>多频接收器
multifrequency signal	multifrequency signal<br>多频信号
multifrequency signalling	multifrequency signalling<br>多频信号技术［信令法］
multifrequency system	multifrequency system<br>多频系统［方法］
multifrequency terminal	multifrequency terminal<br>多频终端
multifunctional data transmission	multifunctional data transmission<br>多功能数据传输;［多功能资料传输］
multifunctional pipeline	multifunctional pipeline<br>多功能流水线
multifunction board	multifunction board<br>多功能板
multifunction rotary switches	multifunction rotary switches<br>多功能旋转开关
multifunction system	multifunction system<br>多功能系统
multijob operation	multijob operation<br>多作业运行;［多工件运算］
multikey index file	multikey index file<br>多键索引文件
multilayer	multilayer<br>多层(印制板)
multilayer board (MLB)	multilayer board (MLB)<br>多层印制板;［多层印刷板］
multilayer device	multilayer device<br>多层器件
multilayer printed circuit board	multilayer printed circuit board<br>多层印制电路板同multilayer board。\n
multileave	multileave
multileaving	multileaving<br>多点传输法
multileaving support	multileaving support<br>多点传送支持
multileaving telecommunications access method	multileaving telecommunications access method<br>多点传送远程通信存取方法
multilength arithmetic	multilength arithmetic<br>多倍长度运算;［多长度运算］
multilevel address	multilevel address<br>多级［间接］地址;［多阶［间接］位址］同indirect address。\n
multilevel addressing	multilevel addressing
multilevel device	multilevel device<br>多级设备
multilevel duobinary AM/PSK	multilevel duobinary AM/PSK<br>多级双二进制调幅移相键控法
multilevel encoding	multilevel encoding<br>多级编［译］码法
multilevel index	multilevel index<br>多级索引;［多阶索引］
multilevel indirect addressing	multilevel indirect addressing<br>多级间接寻址［编址］法;［多阶间接定址］
multilevel interrupt structure	multilevel interrupt structure<br>多级中断结构;［多阶岔断结构］
multilevel memory	multilevel memory<br>多级存储器［系统］;［多阶记忆器］
multilevel processing	multilevel processing<br>多级处理技术［法］;［多阶处理］
multilevel secure	multilevel secure<br>多级安全
multilevel security	multilevel security<br>多级安全性;［多阶安全性］
multilevel signalling	multilevel signalling<br>多级信号传输法
multilevel storage	multilevel storage<br>多级存储器;［多阶储存器］
multilevel subrouting	multilevel subrouting<br>多级再邮(送)法
multilink	multilink<br>多链路
multilink procedure (MLP)	multilink procedure (MLP)<br>多链路规程［协议］
multilink send sequence number (MN(s))	multilink send sequence number (MN(s))<br>多链路帧发送序号
multilist chain	multilist chain<br>多表链
multilist organization	multilist organization<br>多表组织(法)
multimedia	multimedia<br>多媒体［介］
multimode directview storage tube	multimode directview storage tube<br>多态直视存储管
multimode fiber	multimode fiber<br>多模光纤
multioperand adder	multioperand adder<br>多操作数加法器
multipass overlapping	multipass overlapping<br>多遍覆盖技术
multipass sort	multipass sort<br>多遍分类［排序］程序
multipath interference	multipath interference<br>多路弥散,多路干扰
multiphase chargecoupled device	multiphase chargecoupled device<br>多相电荷耦合器件
multiphase program	multiphase program<br>多遍执行程序
multiphase transaction	multiphase transaction<br>多遍事务［项］处理程序,多遍交易
multiple access	multiple access<br>多路存取(法);［多重接达］
multiple access sequential selection	multiple access sequential selection<br>多路存取顺序选择法
multiple accumulating register	multiple accumulating register<br>多重累加寄存器
multiple address code	multiple address code<br>多(地)址码;［多址码］
multiple addressing	multiple addressing<br>多址法;［多重定址］
multiple address instruction	multiple address instruction<br>多地址指令;［多址指令］
multiple address message	multiple address message<br>多(地)址报文;［多址讯息］
multiple address space	multiple address space<br>多(重)地址空间;［多址空间］
multiple address space partition	multiple address space partition<br>多地址空间分区
multiple aperture core	multiple aperture core<br>多孔磁心
multiple assignment	multiple assignment<br>多重赋值
multiple attachment support	multiple attachment support<br>多重连接支持程序
multiple base page	multiple base page<br>多重基本内存页面
multiple branch	multiple branch<br>多分支,多向转移(语句)
multiple bus architecture	multiple bus architecture<br>多总线结构;［多汇流排结构］
multiple bus system	multiple bus system<br>多总线系统;［多汇流排系统］
multiple check	multiple check<br>多重校验法;［多重核对］
multiple computer system	multiple computer system<br>多(计算)机系统;［多重电脑系统］
multiple connector	multiple connector<br>多路连接符
multiple console support (MCS)	multiple console support (MCS)<br>多控制台支持程序
multiple declaration	multiple declaration<br>多重说明
multiple document indexing	multiple document indexing<br>多文件索引法
multiple explicit routes	multiple explicit routes<br>多重显式路由
multiple instruction singledata stream system	multiple instruction singledata stream system<br>多指令单数据流系统［方法］
multiple instruction stream multiple data stream	multiple instruction stream multiple data stream<br>多指令流多数据流
multiple instruction stream single data stream	multiple instruction stream single data stream<br>多指令流单数据流
multiple job processing	multiple job processing<br>多重作业处理技术;［多重工件处理］
multiple key	multiple key<br>多用键标
multiple key organization	multiple key organization<br>多关键字组织(法)
multiple key retrieval	multiple key retrieval<br>多关键字检索法
multiple length	multiple length<br>【修】多倍［字］长;［复长］
multiple length number	multiple length number<br>多倍长数(字);［复长数］
multiple length working	multiple length working<br>多倍字长工作法;［复长工作］
multiple line controller	multiple line controller<br>多线控制器
multiple load module processing	multiple load module processing<br>多装入模块处理法
multiple message mode	multiple message mode<br>多信息方式;［多重讯息模态］
multiple modulation	multiple modulation<br>多级调制
multiple name	multiple name<br>多(重)名字
multiple operations	multiple operations<br>多重运算
multiple partition support (MPS)	multiple partition support (MPS)<br>多分区支持程序
multiple precision	multiple precision<br>【修】多(倍)精度;［多重精确度］
multiple precision arithmetic	multiple precision arithmetic<br>多倍精度运算;［多重精确度运算］见multiple precision。\n
multiple process	multiple process
multiple programming	multiple programming<br>多(重)编程法
multiple punching	multiple punching<br>复穿孔法;［多重打孔］
multiple recording	multiple recording<br>多重记录(法)
multiple requester terminal procedure	multiple requester terminal procedure<br>多路请求终端过程;［多重申请终端程序］
multiple requester terminal program	multiple requester terminal program<br>多路请求终端程序;［多重申请终端程式］
multiple routing	multiple routing<br>多路由选择法
multiple session remote job entry	multiple session remote job entry<br>多重话路远程作业输入程序
multiple systems coupling feature	multiple systems coupling feature<br>多系统耦合功能部件
multiple terminal access	multiple terminal access<br>多终端存取;［多终端接达］
multiple terminal manager	multiple terminal manager<br>多终端管理程序
multiple up	multiple up<br>多页印刷法
multiple utility	multiple utility<br>多用户公用程序
Multiple Virtual Storage/Extended Architecture	Multiple Virtual Storage/Extended Architecture<br>操作系统MVS/XA见MVS/XA。\n
Multiple Virtual Storage (MVS)	Multiple Virtual Storage (MVS)
multiplex	multiplex<br>【动】多路(转接,复用,传输);［多重,多工制］
multiplex channel	multiplex channel<br>多路通道
multiplex data terminal	multiplex data terminal<br>多路数据终端;［多工资料端站］
multiplexed operation	multiplexed operation<br>多路操作;多工运算
multiplexer	multiplexer<br>多路转接［复用］器;［多工器］
multiplexer and bus interface	multiplexer and bus interface<br>多路转换器和总线接口;［多工器和汇流排界面］
multiplexer channel	multiplexer channel<br>多路复用通道;［多工道］
multiplexer polling	multiplexer polling<br>多路转换器轮询法［技术］
multiplexer simulation	multiplexer simulation<br>多路转接器模拟程序;［多工模拟］
multiplexer terminal unit	multiplexer terminal unit<br>多路转接器终端设备;［多工终端单位］
multiplexing	multiplexing<br>多路(复用,传送,转换,转接);［多工化］
multiplex interface	multiplex interface<br>多路复用接口;［多工化界面］
multiplex link	multiplex link<br>多路复用链路法;［多工化链路］
multiplex mode	multiplex mode<br>多路复用方式;［多工模式］
multiplex operation	multiplex operation<br>多路复用操作;［多工运算］
multiplexor	multiplexor<br>多路转接［转换］器,多路复用器;［多工器］同multiplexer。\n
multipleaccess virtual machine	multipleaccess virtual machine
multipledomain network	multipledomain network<br>多域网
multiplespeed floating controller	multiplespeed floating controller<br>多速浮点控制器
multiplestring processing	multiplestring processing<br>多串处理
multipletask management	multipletask management<br>多任务管理法
multiplevolume file	multiplevolume file<br>多卷文件;［多容量档案］
multiplicand	multiplicand<br>被乘数
multiplicand register	multiplicand register<br>被乘数寄存器;［被乘数暂存器］
multiplication time	multiplication time<br>乘法时间
multiplier	multiplier<br>乘数
multiplier factor	multiplier factor<br>乘数(因子)
multiplier register	multiplier register<br>乘数寄存器;［乘数暂存器］
multiplierquotient register	multiplierquotient register<br>乘(数)商(数)寄存器;［乘数商暂存器］
multiplying punch	multiplying punch<br>多功能穿卡机;［乘算打孔机］同calculating punch。\n
multipoint channel	multipoint channel
multipoint circuit	multipoint circuit<br>多点线路
multipoint connection	multipoint connection<br>多点连接(电路)
multipoint data link	multipoint data link<br>多点数据链路;［多点资料链路］
multipoint line	multipoint line<br>多点线路;［多点线］
multipoint link	multipoint link<br>多点链路
multipoint network	multipoint network<br>多点网络;［多点网路］
multiport	multiport<br>【修】多端口;［多口］
multiport memory	multiport memory<br>多端口存储器;［多口记忆器］
multiport storage	multiport storage<br>多端口存储器;［多口储存器］同multiport memory。\n
multiposition controller	multiposition controller
multiprecision arithmetic	multiprecision arithmetic<br>多(倍)精度运算;［多重精确度运算］
multiprocess	multiprocess<br>多进程
multiprocessing	multiprocessing<br>多重［道,机］处理(法);［多元处理］
multiprocessing executive control	multiprocessing executive control<br>多道处理执行控制程序
multiprocessing interleaving	multiprocessing interleaving<br>多重交替处理法
multiprocessing system	multiprocessing system<br>多重处理系统;［多元处理系统］
multiprocessor	multiprocessor<br>多处理机;［多处理器］
multiprogramming	multiprogramming<br>多道程序(设计法);［多重规划］
multiprogramming dispatching	multiprogramming dispatching<br>多道程序调度法;［多重规划配送］
multiprogramming executive	multiprogramming executive<br>多道程序(的)执行程序;［多重规划执行程式］
multiprogramming interrupts	multiprogramming interrupts<br>多道程序设计中断;［多重规划岔断］
multiprogramming memory protect	multiprogramming memory protect<br>多道程序设计存储保护;［多重规划记忆保护］
multiprogramming priority	multiprogramming priority<br>多道程序设计优先权［级别］;［多重规划优先次序］
multiprogramming system	multiprogramming system<br>多道程序设计系统;［多道规划系统］
multiprogramming with a fixed number of tasks	multiprogramming with a fixed number of tasks<br>(MFT) 〓固定任务数多道程序设计系统;［固定数事务的多重规划］
multiprogramming with a variable number of tasks (MVT)	multiprogramming with a variable number of tasks (MVT)<br>可变任务数多道程序设计系统;［可变数事务的多重规划］
multirange amplifier	multirange amplifier<br>宽带［多量程］放大器
multireel file	multireel file<br>多卷磁带文件;［多卷轴档案］
multireel sorting	multireel sorting<br>多卷排序［分类］
multisatellite link	multisatellite link<br>多卫星通信线［链］路
multisequential system	multisequential system<br>多序列系统
multislot connection	multislot connection<br>连接多时槽
multispeed clock feature	multispeed clock feature<br>多速率时钟(功能部件)
multistation	multistation<br>【修】多站
multistation access unit	multistation access unit<br>多站访问部件;［多站接达单位］
multistreaming	multistreaming<br>多(数据)流(技术)
multisystem environment	multisystem environment<br>多系统环境
multisystem networking facility	multisystem networking facility<br>多系统联网软件
multitasking	multitasking<br>多任务;［多事务］
multitasking multiprogramming	multitasking multiprogramming<br>多道程序设计法;［多事物/多重规划］
multitask operation	multitask operation<br>多任务操作;［多事物运算］
multiterminal	multiterminal<br>【修】多终端
multiterminal service	multiterminal service<br>多终端服务程序
multithread	multithread<br>多线程
multithread application program	multithread application program<br>多线程应用程序
multithreading	multithreading<br>多线程技术
multithread operation	multithread operation<br>多线(程)操作
multivibrator	multivibrator<br>多谐振荡器;［复振器］
multivolume file	multivolume file<br>多卷文件;［多容量档案］
multiword	multiword<br>【修】多字
multiaccess computing (MAC)	multiaccess computing (MAC)<br>多路存取计算法;［多接达计算］
multiaperture core	multiaperture core<br>多孔磁心
multiaperture reluctance switch	multiaperture reluctance switch<br>多孔磁阻开关
multiarea file	multiarea file<br>多域文件
multiaspect	multiaspect<br>【修】多方面
multiaspect search	multiaspect search<br>多(方)面检索［搜索］法
multiendpointconnection	multiendpointconnection<br>多端点连接电路
